,Year,MON,NAO
761,2013,6,0.52
762,2013,7,0.67
763,2013,8,0.97
764,2013,9,0.24
765,2013,10,-1.28
766,2013,11,0.9
767,2013,12,0.95
768,2014,1,0.29
769,2014,2,1.34
770,2014,3,0.8
771,2014,4,0.31
772,2014,5,-0.92
773,2014,6,-0.97
774,2014,7,0.18
775,2014,8,-1.68
776,2014,9,1.62
777,2014,10,-1.27
778,2014,11,0.68
779,2014,12,1.86
780,2015,1,1.79
781,2015,2,1.32
782,2015,3,1.45
783,2015,4,0.73
784,2015,5,0.15
785,2015,6,-0.07
786,2015,7,-3.18
787,2015,8,-0.76
788,2015,9,-0.65
789,2015,10,0.44
790,2015,11,1.74
791,2015,12,2.24
792,2016,1,0.12
793,2016,2,1.58
794,2016,3,0.73
795,2016,4,0.38
796,2016,5,-0.77
797,2016,6,-0.43
798,2016,7,-1.76
799,2016,8,-1.65
800,2016,9,0.61
801,2016,10,0.41
802,2016,11,-0.16
803,2016,12,0.48
804,2017,1,0.48
805,2017,2,1.0
806,2017,3,0.74
807,2017,4,1.73
808,2017,5,-1.91
809,2017,6,0.05
810,2017,7,1.26
811,2017,8,-1.1
812,2017,9,-0.61
813,2017,10,0.19
814,2017,11,0.0
815,2017,12,0.88
816,2018,1,1.44
817,2018,2,1.58
818,2018,3,-0.93
819,2018,4,1.24
820,2018,5,2.12
821,2018,6,1.09
822,2018,7,1.39
823,2018,8,1.97
824,2018,9,1.67
825,2018,10,0.93
826,2018,11,-0.11
827,2018,12,0.61
828,2019,1,0.59
829,2019,2,0.29
830,2019,3,1.23
831,2019,4,0.47
832,2019,5,-2.62
833,2019,6,-1.09
834,2019,7,-1.43
835,2019,8,-1.17
836,2019,9,-0.16
837,2019,10,-1.41
838,2019,11,0.28
839,2019,12,1.2
840,2020,1,1.34
841,2020,2,1.26
842,2020,3,1.01
843,2020,4,-1.02
844,2020,5,-0.41
845,2020,6,-0.15
846,2020,7,-1.23
847,2020,8,0.12
848,2020,9,0.98
849,2020,10,-0.65
850,2020,11,2.54
851,2020,12,-0.3
852,2021,1,-1.11
853,2021,2,0.14
854,2021,3,0.73
855,2021,4,-1.43
856,2021,5,-1.24
857,2021,6,0.77
858,2021,7,0.03
859,2021,8,-0.28
860,2021,9,-0.21
861,2021,10,-2.29
862,2021,11,-0.18
863,2021,12,0.29
864,2022,1,1.08
865,2022,2,1.68
866,2022,3,0.77
867,2022,4,-0.36
868,2022,5,0.71
869,2022,6,-0.12
870,2022,7,-0.09
871,2022,8,1.47
872,2022,9,-1.61
873,2022,10,-0.72
874,2022,11,0.69
875,2022,12,-0.15
876,2023,1,1.25
877,2023,2,0.92
878,2023,3,-1.11
879,2023,4,-0.63
880,2023,5,0.39
881,2023,6,-0.58
882,2023,7,-2.17
883,2023,8,-1.16
884,2023,9,-0.44
885,2023,10,-2.03
886,2023,11,-0.32
887,2023,12,1.94
888,2024,1,0.21
889,2024,2,1.09
890,2024,3,-0.21
891,2024,4,-0.78
892,2024,5,-0.44
893,2024,6,-0.09
894,2024,7,1.46
895,2024,8,0.63
896,2024,9,-1.43
897,2024,10,-0.38
898,2024,11,-0.23
899,2024,12,1.21
