,YR,MON,AMM
601,2000,2,-0.38
602,2000,3,0.31
603,2000,4,-1.41
604,2000,5,-1.99
605,2000,6,-2.3
606,2000,7,-1.05
607,2000,8,-0.38
608,2000,9,-0.12
609,2000,10,0.15
610,2000,11,0.39
611,2000,12,0.24
612,2001,1,0.4
613,2001,2,-0.06
614,2001,3,0.15
615,2001,4,-1.45
616,2001,5,-2.08
617,2001,6,-0.64
618,2001,7,0.41
619,2001,8,0.41
620,2001,9,2.93
621,2001,10,3.31
622,2001,11,5.03
623,2001,12,5.54
624,2002,1,6.05
625,2002,2,4.3
626,2002,3,2.14
627,2002,4,-2.38
628,2002,5,-4.39
629,2002,6,-4.43
630,2002,7,-3.56
631,2002,8,-1.99
632,2002,9,-0.73
633,2002,10,1.14
634,2002,11,0.91
635,2002,12,-0.45
636,2003,1,0.13
637,2003,2,-1.6
638,2003,3,-3.1
639,2003,4,-1.79
640,2003,5,-1.51
641,2003,6,-0.11
642,2003,7,-0.16
643,2003,8,1.37
644,2003,9,2.67
645,2003,10,3.82
646,2003,11,2.17
647,2003,12,1.98
648,2004,1,2.87
649,2004,2,3.07
650,2004,3,2.17
651,2004,4,2.72
652,2004,5,0.9
653,2004,6,1.22
654,2004,7,1.82
655,2004,8,3.7
656,2004,9,2.96
657,2004,10,4.1
658,2004,11,4.88
659,2004,12,3.78
660,2005,1,2.39
661,2005,2,1.43
662,2005,3,2.27
663,2005,4,3.82
664,2005,5,4.58
665,2005,6,5.55
666,2005,7,4.03
667,2005,8,3.31
668,2005,9,4.08
669,2005,10,3.63
670,2005,11,3.69
671,2005,12,5.29
672,2006,1,4.17
673,2006,2,1.2
674,2006,3,-0.26
675,2006,4,1.3
676,2006,5,0.83
677,2006,6,0.07
678,2006,7,-0.51
679,2006,8,1.27
680,2006,9,1.99
681,2006,10,3.69
682,2006,11,4.49
683,2006,12,2.47
684,2007,1,2.24
685,2007,2,2.96
686,2007,3,1.98
687,2007,4,0.99
688,2007,5,-0.2
689,2007,6,-0.48
690,2007,7,-0.99
691,2007,8,-0.24
692,2007,9,0.2
693,2007,10,2.42
694,2007,11,3.5
695,2007,12,2.58
696,2008,1,2.15
697,2008,2,0.98
698,2008,3,0.12
699,2008,4,-1.87
700,2008,5,-0.64
701,2008,6,-0.59
702,2008,7,-0.41
703,2008,8,0.08
704,2008,9,2.09
705,2008,10,2.81
706,2008,11,1.84
707,2008,12,1.89
708,2009,1,0.67
709,2009,2,-2.79
710,2009,3,-3.72
711,2009,4,-4.03
712,2009,5,-5.29
713,2009,6,-3.6
714,2009,7,0.11
715,2009,8,0.33
716,2009,9,0.45
717,2009,10,2.56
718,2009,11,2.53
719,2009,12,1.01
720,2010,1,1.98
721,2010,2,3.96
722,2010,3,5.01
723,2010,4,5.3
724,2010,5,6.11
725,2010,6,4.17
726,2010,7,3.84
727,2010,8,4.19
728,2010,9,4.92
729,2010,10,6.11
730,2010,11,6.32
731,2010,12,7.8
732,2011,1,7.01
733,2011,2,3.3
734,2011,3,1.37
735,2011,4,0.16
736,2011,5,0.96
737,2011,6,1.87
738,2011,7,0.97
739,2011,8,0.78
740,2011,9,2.24
741,2011,10,3.32
742,2011,11,3.36
743,2011,12,4.47
744,2012,1,3.13
745,2012,2,1.33
746,2012,3,-2.18
747,2012,4,-1.23
748,2012,5,-0.85
749,2012,6,0.48
750,2012,7,0.74
751,2012,8,2.05
752,2012,9,3.49
753,2012,10,4.97
754,2012,11,5.35
755,2012,12,3.92
756,2013,1,2.86
757,2013,2,1.63
758,2013,3,3.72
759,2013,4,2.22
760,2013,5,3.12
761,2013,6,0.86
762,2013,7,0.75
763,2013,8,1.63
764,2013,9,2.9
765,2013,10,4.48
766,2013,11,3.06
767,2013,12,2.85
768,2014,1,0.77
769,2014,2,-1.92
770,2014,3,-4.4
771,2014,4,-3.68
772,2014,5,-3.8
773,2014,6,-4.29
774,2014,7,-2.13
775,2014,8,-0.34
776,2014,9,1.8
777,2014,10,3.18
778,2014,11,3.1
779,2014,12,1.35
780,2015,1,-0.8
781,2015,2,-1.78
782,2015,3,-4.23
783,2015,4,-5.65
784,2015,5,-4.08
785,2015,6,-4.13
786,2015,7,-1.6
787,2015,8,1.1
